,10km_613_60,10km_613_60,10km_628_65,10km_628_65,10km_631_55,10km_631_55,10km_622_54,10km_622_54,10km_616_49,10km_616_49,10km_619_46,10km_619_46,10km_631_54,10km_631_54,10km_609_61,10km_609_61,10km_619_71,10km_619_71,10km_625_51,10km_625_51
,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon
10km_613_60,0.0,0.0,-1.33325411387478,-0.8744760208686841,-1.6251990366484037,0.7511513785165818,-0.8177695598494878,0.9312614719786705,-0.2807744725667902,1.7353370577160163,-0.5490696568388316,2.215662368842361,-1.626273835381518,0.9156362634367223,0.36153480791861625,-0.1414138745031508,-0.5024242754654367,-1.7790663363814048,-1.0891694678041404,1.4126618103000244
10km_628_65,1.33325411387478,0.8744760208686841,0.0,0.0,-0.2919449227736237,1.625627399385266,0.5154845540252921,1.8057374928473546,1.0524796413079898,2.6098130785847005,0.7841844570359484,3.0901383897110453,-0.29301972150673805,1.7901122843054065,1.6947889217933962,0.7330621463655334,0.8308298384093433,-0.9045903155127206,0.24408464607063962,2.2871378311687085
10km_631_55,1.6251990366484037,-0.7511513785165818,0.2919449227736237,-1.625627399385266,0.0,0.0,0.8074294767989159,0.18011009346208873,1.3444245640816135,0.9841856791994346,1.0761293798095721,1.4645109903257794,-0.001074798733114335,0.16448488492014057,1.98673384456702,-0.8925652530197326,1.122774761182967,-2.5302177148979865,0.5360295688442633,0.6615104317834426
10km_622_54,0.8177695598494878,-0.9312614719786705,-0.5154845540252921,-1.8057374928473546,-0.8074294767989159,-0.18011009346208873,0.0,0.0,0.5369950872826976,0.8040755857373458,0.26869990301065627,1.2844008968636906,-0.8085042755320302,-0.015625208541948155,1.179304367768104,-1.0726753464818213,0.3153452843840512,-2.7103278083600753,-0.2713999079546525,0.48140033832135387
10km_616_49,0.2807744725667902,-1.7353370577160163,-1.0524796413079898,-2.6098130785847005,-1.3444245640816135,-0.9841856791994346,-0.5369950872826976,-0.8040755857373458,0.0,0.0,-0.26829518427204135,0.4803253111263448,-1.3454993628147278,-0.819700794279294,0.6423092804854065,-1.8767509322191671,-0.22164980289864644,-3.514403394097421,-0.8083949952373501,-0.32267524741599196
10km_619_46,0.5490696568388316,-2.215662368842361,-0.7841844570359484,-3.0901383897110453,-1.0761293798095721,-1.4645109903257794,-0.26869990301065627,-1.2844008968636906,0.26829518427204135,-0.4803253111263448,0.0,0.0,-1.0772041785426865,-1.3000261054056388,0.9106044647574478,-2.357076243345512,0.04664538137339491,-3.994728705223766,-0.5400998109653088,-0.8030005585423368
10km_631_54,1.626273835381518,-0.9156362634367223,0.29301972150673805,-1.7901122843054065,0.001074798733114335,-0.16448488492014057,0.8085042755320302,0.015625208541948155,1.3454993628147278,0.819700794279294,1.0772041785426865,1.3000261054056388,0.0,0.0,1.9878086433001343,-1.0570501379398731,1.1238495599160814,-2.694702599818127,0.5371043675773777,0.497025546863302
10km_609_61,-0.36153480791861625,0.1414138745031508,-1.6947889217933962,-0.7330621463655334,-1.98673384456702,0.8925652530197326,-1.179304367768104,1.0726753464818213,-0.6423092804854065,1.8767509322191671,-0.9106044647574478,2.357076243345512,-1.9878086433001343,1.0570501379398731,0.0,0.0,-0.8639590833840529,-1.637652461878254,-1.4507042757227566,1.5540756848031752
10km_619_71,0.5024242754654367,1.7790663363814048,-0.8308298384093433,0.9045903155127206,-1.122774761182967,2.5302177148979865,-0.3153452843840512,2.7103278083600753,0.22164980289864644,3.514403394097421,-0.04664538137339491,3.994728705223766,-1.1238495599160814,2.694702599818127,0.8639590833840529,1.637652461878254,0.0,0.0,-0.5867451923387037,3.191728146681429
10km_625_51,1.0891694678041404,-1.4126618103000244,-0.24408464607063962,-2.2871378311687085,-0.5360295688442633,-0.6615104317834426,0.2713999079546525,-0.48140033832135387,0.8083949952373501,0.32267524741599196,0.5400998109653088,0.8030005585423368,-0.5371043675773777,-0.497025546863302,1.4507042757227566,-1.5540756848031752,0.5867451923387037,-3.191728146681429,0.0,0.0
