dist_tar,id,lat,lon,name,validFrom
"(89201.58182738048, 6378137.0, 1.0139855230183015)",10KM_609_61,55.35009437708952,10.655936978615076,10KM_609_61,2016-01-01T00:00:00.000000Z
"(107954.68305399414, 6378137.0, 1.016925739138873)",10KM_613_60,56.6833484909643,11.53041299948376,10KM_613_60,2016-01-01T00:00:00.000000Z
"(98930.79243121309, 6378137.0, 1.0155109230847836)",10KM_616_49,56.97529341373792,9.904785600098494,10KM_616_49,2016-01-01T00:00:00.000000Z
"(26981.09302541336, 6378137.0, 1.0042302467045492)",10KM_619_46,56.16786393693901,9.724675506636405,10KM_619_46,2016-01-01T00:00:00.000000Z
"(92236.5781682977, 6378137.0, 1.0144613667232762)",10KM_619_71,55.63086884965631,8.92059992089906,10KM_619_71,2016-01-01T00:00:00.000000Z
"(108256.90775260335, 6378137.0, 1.0169731236178532)",10KM_622_54,55.89916403392835,8.440274609772715,10KM_622_54,2016-01-01T00:00:00.000000Z
"(101020.21646600653, 6378137.0, 1.0158385146738)",10KM_625_51,56.97636821247104,9.740300715178353,10KM_625_51,2016-01-01T00:00:00.000000Z
"(130139.77388586084, 6378137.0, 1.020404041789297)",10KM_628_65,54.9885595691709,10.797350853118227,10KM_628_65,2016-01-01T00:00:00.000000Z
"(145873.09845224206, 6378137.0, 1.0228708004315745)",10KM_631_54,55.852518652554956,12.43500331499648,10KM_631_54,2016-01-01T00:00:00.000000Z
"(67378.94845714257, 6378137.0, 1.0105640484764034)",10KM_631_55,56.43926384489366,9.243275168315051,10KM_631_55,2016-01-01T00:00:00.000000Z
